band,limit_range,count
r,14.0,630409
g,14.0,511139
i,14.0,486947
z,14.0,491727
u,14.0,478325
J0378,14.0,492265
J0395,14.0,495057
J0410,14.0,499177
J0430,14.0,500416
J0515,14.0,507292
J0660,14.0,503905
J0861,14.0,498768
r,15.0,1252729
g,15.0,1067574
i,15.0,1067156
z,15.0,1060247
u,15.0,989965
J0378,15.0,1017594
J0395,15.0,1020810
J0410,15.0,1040748
J0430,15.0,1047442
J0515,15.0,1062883
J0660,15.0,1057118
J0861,15.0,1049619
r,16.0,2523970
g,16.0,2135482
i,16.0,2137937
z,16.0,2131527
u,16.0,1810685
J0378,16.0,1845117
J0395,16.0,1810612
J0410,16.0,2028117
J0430,16.0,2074708
J0515,16.0,2127896
J0660,16.0,2116612
J0861,16.0,2104971
r,17.0,4725299
g,17.0,3825552
i,17.0,3838225
z,17.0,3826821
u,17.0,2424022
J0378,17.0,2442150
J0395,17.0,2216541
J0410,17.0,3123438
J0430,17.0,3398126
J0515,17.0,3805349
J0660,17.0,3803162
J0861,17.0,3782718
r,18.0,8839621
g,18.0,6498735
i,18.0,6644669
z,18.0,6620120
u,18.0,2137644
J0378,18.0,2097344
J0395,18.0,1599930
J0410,18.0,3090446
J0430,18.0,3768780
J0515,18.0,6178107
J0660,18.0,6621373
J0861,18.0,6560688
r,19.0,18034175
g,19.0,10412784
i,19.0,12572121
z,19.0,12399254
u,19.0,1464167
J0378,19.0,1517653
J0395,19.0,1132482
J0410,19.0,2297565
J0430,19.0,3016315
J0515,19.0,8212669
J0660,19.0,12532825
J0861,19.0,12258626
r,20.0,23003010
g,20.0,8037282
i,20.0,14759956
z,20.0,12344934
u,20.0,366270
J0378,20.0,402701
J0395,20.0,333834
J0410,20.0,838954
J0430,20.0,1055334
J0515,20.0,3261471
J0660,20.0,14066847
J0861,20.0,11187031
r,21.0,20043542
g,21.0,4451102
i,21.0,11595440
z,21.0,6572557
u,21.0,30833
J0378,21.0,19996
J0395,21.0,11593
J0410,21.0,39605
J0430,21.0,55169
J0515,21.0,388349
J0660,21.0,10064536
J0861,21.0,4945750
r,22.0,3391684
g,22.0,316243
i,22.0,1348562
z,22.0,684015
u,22.0,8884
J0378,22.0,8669
J0395,22.0,8449
J0410,22.0,7593
J0430,22.0,7699
J0515,22.0,12599
J0660,22.0,922985
J0861,22.0,473915
r,23.0,61654
g,23.0,2701
i,23.0,9902
z,23.0,5424
u,23.0,1077
J0378,23.0,1242
J0395,23.0,1143
J0410,23.0,990
J0430,23.0,929
J0515,23.0,1060
J0660,23.0,3596
J0861,23.0,3537
