band,limit_range,count
r,14.0,392999
g,14.0,376563
i,14.0,379865
z,14.0,378755
u,14.0,373298
J0378,14.0,373529
J0395,14.0,373407
J0410,14.0,374330
J0430,14.0,374704
J0515,14.0,375820
J0660,14.0,377723
J0861,14.0,376471
r,15.0,688254
g,15.0,673201
i,15.0,675898
z,15.0,674352
u,15.0,665012
J0378,15.0,665461
J0395,15.0,664965
J0410,15.0,668066
J0430,15.0,669209
J0515,15.0,671764
J0660,15.0,674052
J0861,15.0,672178
r,16.0,1210925
g,16.0,1184841
i,16.0,1187531
z,16.0,1184436
u,16.0,1127664
J0378,16.0,1127477
J0395,16.0,1119127
J0410,16.0,1160819
J0430,16.0,1172386
J0515,16.0,1181284
J0660,16.0,1184944
J0861,16.0,1181468
r,17.0,2052916
g,17.0,1990927
i,17.0,1997572
z,17.0,1990860
u,17.0,1755935
J0378,17.0,1736487
J0395,17.0,1665005
J0410,17.0,1882156
J0430,17.0,1933416
J0515,17.0,1981392
J0660,17.0,1993719
J0861,17.0,1986243
r,18.0,3548663
g,18.0,3330406
i,18.0,3359111
z,18.0,3338899
u,18.0,2107789
J0378,18.0,1997141
J0395,18.0,1741407
J0410,18.0,2499730
J0430,18.0,2766306
J0515,18.0,3276818
J0660,18.0,3351829
J0861,18.0,3330462
r,19.0,6646104
g,19.0,6022115
i,19.0,6207402
z,19.0,6039532
u,19.0,1842007
J0378,19.0,1642289
J0395,19.0,1217348
J0410,19.0,2164868
J0430,19.0,2670557
J0515,19.0,5335661
J0660,19.0,6176718
J0861,19.0,5976027
r,20.0,10145814
g,20.0,7640317
i,20.0,9129863
z,20.0,7985065
u,20.0,1249116
J0378,20.0,986329
J0395,20.0,585646
J0410,20.0,1108244
J0430,20.0,1410098
J0515,20.0,4469993
J0660,20.0,8975777
J0861,20.0,7641289
r,21.0,14550090
g,21.0,6445828
i,21.0,11690569
z,21.0,9275200
u,21.0,666634
J0378,21.0,461693
J0395,21.0,272317
J0410,21.0,390401
J0430,21.0,492561
J0515,21.0,1921722
J0660,21.0,11308506
J0861,21.0,8256156
r,22.0,14949803
g,22.0,2225620
i,22.0,8270669
z,22.0,5777430
u,22.0,388635
J0378,22.0,279753
J0395,22.0,213798
J0410,22.0,211726
J0430,22.0,230045
J0515,22.0,517182
J0660,22.0,7446187
J0861,22.0,4616206
r,23.0,7191258
g,23.0,382379
i,23.0,1782758
z,23.0,1152377
u,23.0,159044
J0378,23.0,121767
J0395,23.0,102285
J0410,23.0,92035
J0430,23.0,93941
J0515,23.0,124140
J0660,23.0,1471045
J0861,23.0,885457
