1 - Herpich, Fabio R.
2 - Almeida-Fernandes, Felipe
3 - Oliveira Schwarz, Gustavo B.
4 - Lima, Erik V. R.
5 - Nakazono, Lilianne
6 - Alonso-García, Javier
7 - Fonseca-Faria, Marcos A.
8 - Sartori, Marilia J.
9 - Bolutavicius, Guilherme F.
10 - Fabiano de Souza, Gabriel
11 - Hartmann, Eduardo A.
12 - Li, Liana
13 - Espinosa, Luna
14 - Kanaan, Antonio
15 - Schoenell, William
16 - Werle, Ariel
17 - Pereira, Eduardo
18 - Gutiérrez-Soto, Luis A.
19 - Santos-Silva, Thaís
20 - Smith Castelli, Analia V.
21 - Lacerda, Eduardo A. D.
22 - Barbosa, Cassio L.
23 - Perottoni, Hélio D.
24 - Ferreira Lopes, Carlos E.
25 - Valença, Raquel Ruiz
26 - Re Martho, Pierre Augusto
27 - Bom, Clecio R.
28 - Bonatto, Charles J.
29 - Carvalho, Maiara S.
30 - Cernic, Vitor
31 - Cortesi, Ariana
32 - Cubillos Palma, Barbara
33 - Ferreira Alberice, Vincenzo Sivero
34 - Jacob Perin, G.
35 - Jaque Arancibia, Marcelo
36 - Lima-Dias, Ciria
37 - Lomelí-Núñez, Luis
38 - Lopes de Oliveira, Raimundo
39 - Luiz Figueiredo, André
40 - Lösch, Elismar
41 - Mello, Julia
42 - Navarete, Felipe
43 - Placco, Vinicius M.
44 - Rubet, Mariana
45 - Santos, André
46 - Ribeiro, Tiago
47 - Mendes de Oliveira, Claudia
