1 - Herpich, Fabio R.
2 - Almeida-Fernandes, Felipe
3 - Oliveira Schwarz, Gustavo B.
4 - Lima, Erik V. R.
5 - Nakazono, Lilianne
6 - Alonso-García, Javier
7 - Fonseca-Faria, Marcos A.
8 - Sartori, Marilia J.
9 - Bolutavicius, Guilherme F.
10 - Fabiano de Souza, Gabriel
11 - Hartmann, Eduardo A.
12 - Li, Liana
13 - Espinosa, Luna
14 - Schoenell, William
15 - Kanaan, Antonio
16 - Pereira, Eduardo
17 - Gutiérrez-Soto, Luis A.
18 - Santos-Silva, Thaís
19 - Smith Castelli, Analia V.
20 - Lacerda, Eduardo A. D.
21 - Barbosa, Cassio L.
22 - Perottoni, Hélio D.
23 - Ferreira Lopes, Carlos E.
24 - Valença, Raquel Ruiz
25 - Re Martho, Pierre Augusto
26 - Bom, Clecio R.
27 - Bonatto, Charles J.
28 - Carvalho, Maiara S.
29 - Cortesi, Ariana
30 - Cubillos Palma, Barbara
31 - Ferreira Alberice, Vincenzo Sivero
32 - Jacob Perin, G.
33 - Jaque Arancibia, Marcelo
34 - Lima-Dias, Ciria
35 - Lomelí-Núñez, Luis
36 - Lopes de Oliveira, Raimundo
37 - Luiz Figueiredo, André
38 - Lösch, Elismar
39 - Mello, Julia
40 - Navarete, Felipe
41 - Placco, Vinicius M.
42 - Rubet, Mariana
43 - Santos, André
44 - Ribeiro, Tiago
45 - Mendes de Oliveira, Claudia
